what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280601360542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280601365751
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280601368070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280601392714
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280601424534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280601444936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280601494070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280601523644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280601542654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280601544893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280602086600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280602130611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280602151365
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280602156283
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280603652173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280603657291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280603791687
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280603852835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280603862037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280603906063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280604004976
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280604044588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280604060872
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280604072585
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280604110347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280604114633
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280604123909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280604189863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1280604194340
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280604198040
