what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1281059938283
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1281059938318
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1281059938359
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1281059938370
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1281059938375
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1281059938384
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1281059938398
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1281059938398
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1281059938410
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1281059938411
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1281059938437
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1281059938474
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1281059938485
os,sysinfo,,,"linux",1281059938489
arch,sysinfo,,,"x86",1281059938489
ws,sysinfo,,,"gtk",1281059938489
locale,sysinfo,,,"es_AR",1281059938489
processors,sysinfo,,,"2",1281059938489
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1281059938489
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1281059938489
java.specification.name,sysinfo,,,"Java Platform API Specification",1281059938489
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281059938489
java.specification.version,sysinfo,,,"1.6",1281059938489
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1281059938489
java.version,sysinfo,,,"1.6.0_20",1281059938489
java.vm.info,sysinfo,,,"mixed mode, sharing",1281059938489
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281059938489
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281059938489
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281059938489
java.vm.specification.version,sysinfo,,,"1.0",1281059938489
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1281059938489
java.vm.version,sysinfo,,,"16.3-b01",1281059938489
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1281059938578
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1281059938620
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1281059938743
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1281059938775
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1281059938786
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281059938932
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1281059938974
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1281059939000
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1281059939189
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1281059939207
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281059958810
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281060025381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060075909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060123626
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060318276
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060348048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060418751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060425842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060599826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060609705
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060630478
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281060640424
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281060640589
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281060640622
