what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_20",1280631214585
java.vm.info,sysinfo,,,"mixed mode, sharing",1280631214585
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1280631214585
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280631214585
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280631214585
java.vm.specification.version,sysinfo,,,"1.0",1280631214585
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1280631214585
java.vm.version,sysinfo,,,"16.3-b01",1280631214585
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1280631214599
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1280631214641
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1280631214712
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1280631214761
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1280631214786
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1280631214926
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1280631214940
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1280631214967
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1280631215195
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1280631215211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280631222270
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280631371726
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280631380596
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632029252
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1280632034103
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280632055361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632056988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632125319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632128511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632137305
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1280632165072
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1280632165110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632179771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632361757
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280632393502
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280632455110
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280632466858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632478184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632608691
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280632615163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632618271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632876495
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280632890113
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1280632891989
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280632904313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633036241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280633056071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633065766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633118497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633134330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633143164
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633162969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633260442
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633266157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633278280
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280633381172
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280633646056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633666622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633720792
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280633768297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280633895750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280633898127
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280634022415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280634068701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280634092174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280634119556
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1280634131854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280634135001
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280634136172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280634371155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280634560024
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280634650176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280634651878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280634758342
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1280634823447
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1280634823664
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1280634823808
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280634824380
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280634824407
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280634863514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635028156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635107230
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1280635153080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635273298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635328304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635357496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635359964
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280635360210
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280635368031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635388841
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635393907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280635409657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635442877
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635475731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635482251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635491713
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280635506075
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280635508032
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280635517361
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280635524106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635560628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635667010
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280635669758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635681503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280635682910
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1280635683099
