what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281225280072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225280094
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281225312634
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281225320287
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1281225324960
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281225347256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225347623
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281225348826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225348843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225360199
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281225361248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225361264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225381799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225382836
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281225383006
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281225426331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225431226
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225637354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281225640615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229063532
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229065004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229319330
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281229322835
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281229336389
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281229394401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281229398473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229429651
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229442858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229473820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229475184
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281229475425
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281229535920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229559206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229560349
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281229560592
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281229570696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229596781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229671017
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229676891
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229685074
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281229685152
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281229685173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229895716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281229968649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281230047836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230117597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230123746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230151097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230165661
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281230173109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281230179789
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281230181500
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281230184121
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281230394311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281230448089
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230728023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230735442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281230785201
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281230859882
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281230861638
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281230878070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281230879701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281230888333
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281230890305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230899683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281230947469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281230956159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281230957775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281230964377
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281230968612
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281230975106
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281230976472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281230977696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231016084
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231087785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281231098405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281231153274
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231193718
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231239632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231293261
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231354049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281231438031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231442899
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231516139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281231517902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281231525309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281231552858
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231558203
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281231585547
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281231590658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281231603790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231605185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231704999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231735617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281231754693
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231756953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231761789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231787553
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281231801043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231803143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231812168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281231857433
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281231858940
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231890220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281231977896
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1281232078547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281232078548
