what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281243857033
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281243914275
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281243939947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244004372
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244005743
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281244007098
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281244027919
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281244068808
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281244078850
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244091917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244093840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244109289
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244209192
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281244218946
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244269321
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244270605
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281244272548
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281244281412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244484852
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1281244487625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244487666
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281244489301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244514949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244515601
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281244517097
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281244517117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244553471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244554976
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281244742047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244783097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281244784339
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281244784545
