what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280689797143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280689802378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280689810203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280689830317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690349362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690351657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280690551465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690571224
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690575139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690581589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690598576
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280690643891
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280690659571
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690673616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690684418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690751942
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280690755704
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280690765048
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280690765071
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280690765888
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280690765961
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280690883484
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280690884626
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1280691079117
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1280691079376
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1280692270971
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1280692270972
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1280692270972
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1280692270984
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1280692270984
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1280692271051
